城市	2022年计划(万元)	1-8月FC(万元)	1-8月同期(万元)	1-8月实绩(万元)	累计完成率	累计同期比	进度
阿坝藏族羌族自治州	7.6 	3.8 	3.0 	1.8 	48.1%	60.8%	24.5%
巴中市	100.7 	57.0 	44.3 	22.1 	38.8%	50.0%	22.0%
成都市	5090.8 	2830.9 	3118.3 	3005.6 	106.2%	96.4%	59.0%
达州市	177.5 	94.0 	119.5 	94.1 	100.1%	78.8%	53.0%
德阳市	281.5 	157.9 	138.6 	135.0 	85.5%	97.4%	48.0%
甘孜藏族自治州	24.9 	13.5 	4.3 	5.8 	43.3%	137.3%	23.5%
广安市	132.7 	75.3 	75.7 	63.4 	84.1%	83.8%	47.8%
广元市	523.3 	282.4 	269.8 	431.3 	152.7%	159.8%	82.4%
乐山市	432.0 	247.1 	272.9 	234.7 	95.0%	86.0%	54.3%
凉山彝族自治州	377.6 	209.3 	151.0 	155.0 	74.1%	102.7%	41.0%
泸州市	369.2 	192.7 	238.8 	151.3 	78.5%	63.4%	41.0%
眉山市	203.3 	115.2 	133.5 	101.1 	87.8%	75.8%	49.7%
绵阳市	681.5 	390.9 	419.2 	351.4 	89.9%	83.8%	51.6%
南充市	231.2 	126.2 	158.0 	220.7 	174.9%	139.7%	95.5%
内江市	124.4 	67.6 	66.4 	64.0 	94.6%	96.4%	51.4%
攀枝花市	351.9 	197.5 	162.5 	170.7 	86.4%	105.0%	48.5%
遂宁市	131.7 	67.5 	77.7 	64.1 	95.0%	82.5%	48.7%
雅安市	592.0 	332.9 	336.5 	344.3 	103.4%	102.3%	58.2%
宜宾市	214.5 	119.5 	123.5 	108.9 	91.1%	88.1%	50.8%
资阳市	229.9 	121.2 	158.9 	120.3 	99.2%	75.7%	52.3%
自贡市	252.6 	140.6 	137.7 	118.3 	84.2%	86.0%	46.8%
