color	  大区名称	省	城市	2022年计划(万元)	1-8月计划(万元)	1-8月同期(万元)	1-8月实绩(万元)	完成率	同期比	进度
4	四川大区	四川省	阿坝藏族羌族自治州	7.6 	4.6 	3.7 	3.6 	78.4%	97.5%	47.5%
4	四川大区	四川省	巴中市	100.7 	65.9 	46.6 	25.2 	38.2%	54.1%	25.0%
1	四川大区	四川省	成都市	5090.8 	3266.2 	3450.6 	3297.7 	101.0%	95.6%	64.8%
1	四川大区	四川省	达州市	177.5 	107.4 	128.2 	107.9 	100.5%	84.2%	60.8%
3	四川大区	四川省	德阳市	281.5 	181.2 	151.7 	152.6 	84.2%	100.5%	54.2%
4	四川大区	四川省	甘孜藏族自治州	24.9 	15.8 	4.1 	7.9 	50.3%	191.7%	32.0%
2	四川大区	四川省	广安市	132.7 	85.2 	80.1 	77.0 	90.4%	96.1%	58.0%
1	四川大区	四川省	广元市	523.3 	326.2 	301.5 	481.7 	147.7%	159.7%	92.0%
2	四川大区	四川省	乐山市	432.0 	283.7 	311.2 	256.8 	90.5%	82.5%	59.4%
4	四川大区	四川省	凉山彝族自治州	377.6 	241.0 	177.2 	174.5 	72.4%	98.5%	46.2%
4	四川大区	四川省	泸州市	369.2 	225.8 	263.4 	163.0 	72.2%	61.9%	44.1%
3	四川大区	四川省	眉山市	203.3 	130.9 	145.6 	108.7 	83.1%	74.7%	53.5%
3	四川大区	四川省	绵阳市	681.5 	447.4 	459.7 	391.7 	87.5%	85.2%	57.5%
1	四川大区	四川省	南充市	231.2 	144.9 	170.1 	245.4 	169.4%	144.2%	106.1%
2	四川大区	四川省	内江市	124.4 	77.6 	71.8 	70.0 	90.2%	97.5%	56.3%
3	四川大区	四川省	攀枝花市	351.9 	227.1 	185.9 	189.2 	83.3%	101.8%	53.8%
3	四川大区	四川省	遂宁市	131.7 	78.6 	83.1 	66.0 	84.0%	79.4%	50.1%
2	四川大区	四川省	雅安市	592.0 	382.1 	383.1 	379.2 	99.3%	99.0%	64.1%
3	四川大区	四川省	宜宾市	214.5 	138.0 	137.6 	120.5 	87.3%	87.5%	56.2%
2	四川大区	四川省	资阳市	229.9 	139.2 	176.7 	129.3 	92.9%	73.2%	56.2%
4	四川大区	四川省	自贡市	252.6 	162.5 	150.6 	124.1 	76.4%	82.4%	49.1%
3	  甘肃大区	甘肃省	白银市	399.9 	258.7 	246.7 	223.5 	86.4%	90.6%	55.9%
1	  甘肃大区	甘肃省	定西市	339.2 	209.7 	182.1 	258.6 	123.3%	142.0%	76.2%
1	  甘肃大区	甘肃省	甘南藏族自治州	55.9 	34.7 	35.6 	37.5 	107.9%	105.4%	67.0%
3	  甘肃大区	甘肃省	嘉峪关市	258.5 	164.7 	166.8 	140.9 	85.6%	84.5%	54.5%
